"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Ipca Laboratories Ltd","Healthcare","3422125650","3124733000","4.95","1655400","62678","3.94","/mutual-fund/holding-history/11349/642/"
"PI Industries Ltd","Basic Materials","2980903301.6","2862795000","4.54","1557136","-","-","/mutual-fund/holding-history/11349/1038/"
"Avenue Supermarts Ltd","Consumer Defensive","2165781000","2318788000","3.68","1030000","-","-","/mutual-fund/holding-history/11349/53208/"
"Tata Consumer Products Ltd","Consumer Defensive","2170728400","2266746000","3.59","4258000","-","-","/mutual-fund/holding-history/11349/1359/"
"Voltas Ltd","Industrials","2383190000","2257806000","3.58","3557000","132000","3.85","/mutual-fund/holding-history/11349/1500/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","2211716861.2","2151490000","3.41","9265676","2455676","36.06","/mutual-fund/holding-history/11349/262/"
"Endurance Technologies Ltd","Consumer Cyclical","1976203266.8","2043887000","3.24","1859431","175614","10.43","/mutual-fund/holding-history/11349/4797/"
"Trent Ltd","Consumer Cyclical","1910394000","1929106000","3.06","3018000","285854","10.46","/mutual-fund/holding-history/11349/1412/"
"Astral Poly Technik Ltd","Industrials","1827603284.65","1863984000","2.96","1661231","-","-","/mutual-fund/holding-history/11349/122/"
"Mphasis Ltd","Technology","2041078500","1771278000","2.81","1605000","-","-","/mutual-fund/holding-history/11349/881/"
"Bata India Ltd","Consumer Cyclical","1759050000","1753718000","2.78","1350000","-120000","-8.16","/mutual-fund/holding-history/11349/168/"
"City Union Bank Ltd","Financial Services","1621425997.8","1635968000","2.59","12118281","1851984","18.04","/mutual-fund/holding-history/11349/295/"
"Supreme Industries Ltd","Consumer Cyclical","1640691757.25","1592564000","2.53","1191281","21940","1.88","/mutual-fund/holding-history/11349/1324/"
"Balkrishna Industries Ltd","Consumer Cyclical","1532223500","1493747000","2.37","1130000","150000","15.31","/mutual-fund/holding-history/11349/153/"
"Coforge Ltd","Technology","1596914550","1333332000","2.11","693000","32000","4.84","/mutual-fund/holding-history/11349/942/"
"MindTree Ltd","Technology","1408479000","1282883000","2.03","1110000","50000","4.72","/mutual-fund/holding-history/11349/865/"
"Whirlpool of India Ltd","Technology","1243115971.85","1270670000","2.01","598991","-","-","/mutual-fund/holding-history/11349/1521/"
"HDFC Bank Ltd","Financial Services","1064880000","1138167000","1.8","1020000","120000","13.33","/mutual-fund/holding-history/11349/533/"
"Bajaj Finance Ltd","Financial Services","951101850","1056803000","1.68","303000","56000","22.67","/mutual-fund/holding-history/11349/150/"
"Sanofi India Ltd","Healthcare","1060223350.55","1023859000","1.62","124579","-","-","/mutual-fund/holding-history/11349/1182/"
"Gujarat Gas Ltd","Utilities","877397485.95","959990000","1.52","2949731","-","-","/mutual-fund/holding-history/11349/515/"
"Gujarat State Petronet Ltd","Utilities","901643750","941419000","1.49","4625000","2360000","104.19","/mutual-fund/holding-history/11349/502/"
"Cadila Healthcare Ltd","Healthcare","963750000","928125000","1.47","2500000","-","-","/mutual-fund/holding-history/11349/229/"
"Alembic Pharmaceuticals Ltd","Healthcare","915442337.8","902982000","1.43","958478","-","-","/mutual-fund/holding-history/11349/92/"
"ICICI Securities Ltd","Financial Services","845578417","883324000","1.4","1850281","-","-","/mutual-fund/holding-history/11349/81109/"
"JK Cement Ltd","Basic Materials","879430624.8","873275000","1.38","586248","-","-","/mutual-fund/holding-history/11349/683/"
"ACC Ltd","Basic Materials","866677500","859170000","1.36","650000","110000","20.37","/mutual-fund/holding-history/11349/22/"
