"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Galaxy Surfactants Ltd","Basic Materials","1713245818.05","1565225000","5.75","896823","18147","2.07","/mutual-fund/holding-history/17696/74800/"
"Fine Organic Industries Ltd Ordinary Shares","Basic Materials","1471771178.4","1159935000","4.26","467942","41865","9.83","/mutual-fund/holding-history/17696/92286/"
"Brigade Enterprises Ltd","Real Estate","1076948247.2","1085964000","3.99","6217946","1248983","25.14","/mutual-fund/holding-history/17696/219/"
"Can Fin Homes Ltd","Financial Services","1231487409.75","1073701000","3.95","2892513","200000","7.43","/mutual-fund/holding-history/17696/234/"
"MAS Financial Services Ltd Ordinary Shares","Financial Services","1045898497.1","1007440000","3.7","1230686","-","-","/mutual-fund/holding-history/17696/62997/"
"Aarti Industries Ltd","Basic Materials","1007317911.6","998408000","3.67","952952","-16282","-1.68","/mutual-fund/holding-history/17696/14/"
"City Union Bank Ltd","Financial Services","1029994633.2","967973000","3.56","7170168","-","-","/mutual-fund/holding-history/17696/295/"
"Tata Elxsi Ltd","Technology","1088435806.8","898434000","3.3","835908","130306","18.47","/mutual-fund/holding-history/17696/1358/"
"JK Cement Ltd","Basic Materials","926804506.9","895688000","3.29","601294","-87147","-12.66","/mutual-fund/holding-history/17696/683/"
"CCL Products (India) Ltd","Consumer Defensive","959706569.25","868935000","3.19","3525093","1335787","61.01","/mutual-fund/holding-history/17696/243/"
"Blue Star Ltd","Industrials","901578916","862704000","3.17","1356880","20207","1.51","/mutual-fund/holding-history/17696/209/"
"Ahluwalia Contracts (India) Ltd","Industrials","802921767.75","790473000","2.91","3036195","184712","6.48","/mutual-fund/holding-history/17696/43/"
"Narayana Hrudayalaya Ltd","Healthcare","847150354.4","791832000","2.91","2447704","908428","59.02","/mutual-fund/holding-history/17696/1886/"
"Coforge Ltd","Technology","835323322.5","745887000","2.74","387675","-","-","/mutual-fund/holding-history/17696/942/"
"HeidelbergCement India Ltd","Basic Materials","722707777","745945000","2.74","3938462","213587","5.73","/mutual-fund/holding-history/17696/536/"
"JK Lakshmi Cement Ltd","Basic Materials","760438619.2","736253000","2.71","2812273","-","-","/mutual-fund/holding-history/17696/685/"
"Neogen Chemicals Ltd","Basic Materials","714730836.3","695637000","2.56","1023823","-","-","/mutual-fund/holding-history/17696/141845/"
"Jindal Steel & Power Ltd","Basic Materials","674035232.5","659407000","2.42","3215050","3215050","New","/mutual-fund/holding-history/17696/677/"
"Orient Electric Ltd Ordinary Shares","Consumer Cyclical","666011838.65","623129000","2.29","3118763","313419","11.17","/mutual-fund/holding-history/17696/94299/"
"PNC Infratech Ltd","Industrials","600170895","615779000","2.26","3629700","777093","27.24","/mutual-fund/holding-history/17696/1717/"
"SRF Ltd","Basic Materials","643344010.4","602280000","2.21","148568","-","-","/mutual-fund/holding-history/17696/1283/"
"JM Financial Ltd","Financial Services","566400017.7","549573000","2.02","6730838","-","-","/mutual-fund/holding-history/17696/689/"
"Orient Refractories Ltd","Industrials","550928539","532834000","1.96","2741620","-","-","/mutual-fund/holding-history/17696/989/"
"Sudarshan Chemical Industries Ltd","Basic Materials","530843677.2","522811000","1.92","1147522","-","-","/mutual-fund/holding-history/17696/1304/"
"VST Industries Ltd","Consumer Defensive","538563402","516389000","1.9","152085","14546","10.58","/mutual-fund/holding-history/17696/1502/"
"KNR Constructions Ltd","Industrials","522568251","498064000","1.83","1968242","254913","14.88","/mutual-fund/holding-history/17696/752/"
"Chalet Hotels Ltd","Consumer Cyclical","471740054.75","476465000","1.75","3048401","-","-","/mutual-fund/holding-history/17696/127257/"
"Multi Commodity Exchange of India Ltd","Financial Services","516231123.1","471753000","1.73","295141","-","-","/mutual-fund/holding-history/17696/853/"
"Grindwell Norton Ltd","Industrials","500596161","461084000","1.7","913580","189775","26.22","/mutual-fund/holding-history/17696/496/"
"Ipca Laboratories Ltd","Healthcare","485270843.4","426800000","1.57","226107","-","-","/mutual-fund/holding-history/17696/642/"
"PI Industries Ltd","Basic Materials","327176818.4","312670000","1.15","170068","-","-","/mutual-fund/holding-history/17696/1038/"
"Navin Fluorine International Ltd","Basic Materials","327520163.2","308939000","1.14","158272","-","-","/mutual-fund/holding-history/17696/914/"
"Metropolis Healthcare Ltd","Healthcare","321066036","308104000","1.13","167571","-","-","/mutual-fund/holding-history/17696/139598/"
"Rallis India Ltd","Basic Materials","305427922.8","289929000","1.07","987162","119670","13.79","/mutual-fund/holding-history/17696/1101/"
"Supreme Industries Ltd","Consumer Cyclical","291610235.9","284700000","1.05","212963","-","-","/mutual-fund/holding-history/17696/1324/"
"TeamLease Services Ltd","Industrials","197332030","192940000","0.71","81416","81416","New","/mutual-fund/holding-history/17696/1955/"
"TCNS Clothing Co Ltd","Consumer Cyclical","173335987.2","191383000","0.7","450048","-2006","-0.44","/mutual-fund/holding-history/17696/97938/"
"Vesuvius India Ltd","Industrials","192043788.2","184012000","0.68","193534","-","-","/mutual-fund/holding-history/17696/1475/"
"Vinati Organics Ltd","Basic Materials","199535725.2","184865000","0.68","183498","-","-","/mutual-fund/holding-history/17696/1485/"
"Phoenix Mills Ltd","Real Estate","163415227.2","164989000","0.61","255856","-","-","/mutual-fund/holding-history/17696/1036/"
"Birlasoft Ltd","Technology","178346259","156724000","0.58","976170","976170","New","/mutual-fund/holding-history/17696/763/"
"Igarashi Motors India Ltd","Consumer Cyclical","137932714.8","138919000","0.51","458858","-13200","-2.8","/mutual-fund/holding-history/17696/595/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","126929687.5","126984000","0.47","546875","-","-","/mutual-fund/holding-history/17696/262/"
"MM Forgings Ltd","Industrials","51100724.15","46295000","0.17","167461","-","-","/mutual-fund/holding-history/17696/868/"
"Gujarat State Petronet Ltd","Utilities","36011401.2","34149000","0.13","167768","-332232","-66.45","/mutual-fund/holding-history/17696/502/"
"KPIT Technologies Ltd","Technology","29638404.4","25050000","0.09","296978","296978","New","/mutual-fund/holding-history/17696/141324/"
"Asahi India Glass Ltd","Consumer Cyclical","7945800.8","7327000","0.03","35252","35252","New","/mutual-fund/holding-history/17696/107/"
