"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Ipca Laboratories Ltd","Healthcare","4134636438.5","3775325000","4.79","2000066","-","-","/mutual-fund/holding-history/8499/642/"
"Balkrishna Industries Ltd","Consumer Cyclical","3044206734.35","2967762000","3.76","2245073","-","-","/mutual-fund/holding-history/8499/153/"
"Coromandel International Ltd","Basic Materials","2933793309.45","2824178000","3.58","3715779","-","-","/mutual-fund/holding-history/8499/284/"
"Infosys Ltd","Technology","3024925308.9","2777147000","3.52","2990682","-","-","/mutual-fund/holding-history/8499/630/"
"Atul Ltd","Basic Materials","2889704187","2743228000","3.48","474570","-","-","/mutual-fund/holding-history/8499/129/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","2623571034.7","2552129000","3.24","10991081","831310","8.18","/mutual-fund/holding-history/8499/262/"
"Supreme Industries Ltd","Consumer Cyclical","2563728839","2488525000","3.16","1861484","-","-","/mutual-fund/holding-history/8499/1324/"
"Divi's Laboratories Ltd","Healthcare","2408439899.25","2457266000","3.12","786879","-247360","-23.92","/mutual-fund/holding-history/8499/336/"
"Manappuram Finance Ltd","Financial Services","2461753386.75","2380526000","3.02","16084635","-","-","/mutual-fund/holding-history/8499/827/"
"Ramco Cements Ltd","Basic Materials","2430262183.35","2374418000","3.01","3426041","-","-","/mutual-fund/holding-history/8499/1103/"
"Bata India Ltd","Consumer Cyclical","2192062960","2185418000","2.77","1682320","93035","5.85","/mutual-fund/holding-history/8499/168/"
"Jubilant Foodworks Ltd","Consumer Cyclical","2365441016.4","2143432000","2.72","1022142","-","-","/mutual-fund/holding-history/8499/701/"
"Alembic Pharmaceuticals Ltd","Healthcare","2102707090.7","2074087000","2.63","2201557","-","-","/mutual-fund/holding-history/8499/92/"
"Max Financial Services Ltd","Financial Services","2005776779","1988900000","2.52","3375308","197230","6.21","/mutual-fund/holding-history/8499/845/"
"Exide Industries Ltd","Consumer Cyclical","1944133534.8","1979734000","2.51","12067868","-","-","/mutual-fund/holding-history/8499/404/"
"Voltas Ltd","Industrials","2057541860","1949291000","2.47","3070958","-","-","/mutual-fund/holding-history/8499/1500/"
"Bharat Forge Ltd","Consumer Cyclical","1726086093.3","1905717000","2.42","3879717","35183","0.92","/mutual-fund/holding-history/8499/184/"
"City Union Bank Ltd","Financial Services","1808043949.2","1824260000","2.31","13513034","873193","6.91","/mutual-fund/holding-history/8499/295/"
"AIA Engineering Ltd","Industrials","1725819342.15","1788972000","2.27","992963","30698","3.19","/mutual-fund/holding-history/8499/46/"
"Gujarat State Petronet Ltd","Utilities","1678390053.2","1752430000","2.22","8609336","1446502","20.19","/mutual-fund/holding-history/8499/502/"
"Solar Industries India Ltd","Basic Materials","1540044158.4","1686179000","2.14","1501896","-","-","/mutual-fund/holding-history/8499/1263/"
"Sheela Foam Ltd","Consumer Cyclical","1616436500","1637559000","2.08","1190000","590000","98.33","/mutual-fund/holding-history/8499/4957/"
"Emami Ltd","Consumer Defensive","1573807296.6","1596392000","2.03","4472314","-","-","/mutual-fund/holding-history/8499/374/"
