"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"HDFC Bank Ltd","Financial Services","2075913612","2218781805","3.38","1988423","-","-","/mutual-fund/holding-history/6423/533/"
"Ramco Cements Ltd","Basic Materials","2248214599.35","2196553363","3.34","3169401","-","-","/mutual-fund/holding-history/6423/1103/"
"Crompton Greaves Consumer Electricals Ltd","Consumer Cyclical","2071820466.8","2158377934","3.28","7941052","-","-","/mutual-fund/holding-history/6423/2020/"
"Kansai Nerolac Paints Ltd","Basic Materials","2110174755.2","2119490221","3.23","4435936","-","-","/mutual-fund/holding-history/6423/718/"
"ICICI Bank Ltd","Financial Services","1798827947.85","2035902791","3.1","5159409","-","-","/mutual-fund/holding-history/6423/584/"
"Voltas Ltd","Industrials","2091532970","1981493362","3.02","3121691","-","-","/mutual-fund/holding-history/6423/1500/"
"WABCO India Ltd","Consumer Cyclical","1652052533","1962342654","2.99","281404","-","-","/mutual-fund/holding-history/6423/1508/"
"Tata Consumer Products Ltd","Consumer Defensive","1833310642.6","1914403532","2.91","3596137","-","-","/mutual-fund/holding-history/6423/1359/"
"Kotak Mahindra Bank Ltd","Financial Services","1692735220.6","1893072504","2.88","1350892","-","-","/mutual-fund/holding-history/6423/758/"
"Trent Ltd","Consumer Cyclical","1823704017","1841566521","2.8","2881049","-","-","/mutual-fund/holding-history/6423/1412/"
"Bharat Petroleum Corp Ltd","Energy","1521851377.5","1651659326","2.51","4050170","-","-","/mutual-fund/holding-history/6423/215/"
"JK Cement Ltd","Basic Materials","1580007326.8","1568948013","2.39","1053268","-","-","/mutual-fund/holding-history/6423/683/"
"Aarti Industries Ltd","Basic Materials","1497319469.8","1560859269","2.38","1489796","-","-","/mutual-fund/holding-history/6423/14/"
"Info Edge (India) Ltd","Communication Services","1649226902.4","1560076918","2.37","478016","-","-","/mutual-fund/holding-history/6423/913/"
"Balkrishna Industries Ltd","Consumer Cyclical","1541551080.05","1502840350","2.29","1136879","-","-","/mutual-fund/holding-history/6423/153/"
"Gujarat State Petronet Ltd","Utilities","1378717592","1439538168","2.19","7072160","-","-","/mutual-fund/holding-history/6423/502/"
"Emami Ltd","Consumer Defensive","1370650500","1390320250","2.12","3895000","-","-","/mutual-fund/holding-history/6423/374/"
"City Union Bank Ltd","Financial Services","1356490624.8","1368656460","2.08","10138196","-","-","/mutual-fund/holding-history/6423/295/"
"Cholamandalam Financial Holdings Ltd","Financial Services","1236026028.4","1363078079","2.07","3121672","-","-","/mutual-fund/holding-history/6423/1424/"
"Indian Hotels Co Ltd","Consumer Cyclical","1186028719.2","1341965938","2.04","12940848","-","-","/mutual-fund/holding-history/6423/606/"
"SKF India Ltd","Industrials","1128982373.4","1273847285","1.94","783689","-","-","/mutual-fund/holding-history/6423/1251/"
"Ashok Leyland Ltd","Consumer Cyclical","1429427242.6","1267375530","1.93","18734302","-","-","/mutual-fund/holding-history/6423/114/"
