"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Deepak Nitrite Ltd","Basic Materials","4171304545.2","3583305796","6.28","5242967","-100000","-1.87","/mutual-fund/holding-history/8295/318/"
"Infosys Ltd","Technology","2645513371.2","2510858255","4.4","2703918","-","-","/mutual-fund/holding-history/8295/630/"
"HDFC Bank Ltd","Financial Services","1745579413.8","1841112329","3.23","1649964","-","-","/mutual-fund/holding-history/8295/533/"
"Brigade Enterprises Ltd","Real Estate","1662630975.2","1676550230","2.94","9599486","-","-","/mutual-fund/holding-history/8295/219/"
"Voltas Ltd","Industrials","1694763435.2","1569065185","2.75","2471942","-","-","/mutual-fund/holding-history/8295/1500/"
"Nesco Ltd","Industrials","1602081433.25","1563698085","2.74","2822305","-10024","-0.35","/mutual-fund/holding-history/8295/929/"
"Jyothy Labs Ltd","Consumer Defensive","1530327361.5","1458994195","2.56","10263765","-","-","/mutual-fund/holding-history/8295/706/"
"J.B. Chemicals & Pharmaceuticals Ltd","Healthcare","1535894936.1","1427995745","2.5","1853938","-33649","-1.78","/mutual-fund/holding-history/8295/665/"
"Vardhman Textiles Ltd","Consumer Cyclical","1328844755","1402108374","2.46","1655675","-","-","/mutual-fund/holding-history/8295/1504/"
"CCL Products (India) Ltd","Consumer Defensive","1488441116.25","1347661103","2.36","5467185","-","-","/mutual-fund/holding-history/8295/243/"
"Cyient Ltd","Industrials","1333643942.4","1282769242","2.25","3303552","-","-","/mutual-fund/holding-history/8295/301/"
"Hindustan Petroleum Corp Ltd","Energy","1233104311.2","1267697903","2.22","6289744","-","-","/mutual-fund/holding-history/8295/556/"
"Blue Star Ltd","Industrials","1308111352.85","1251707725","2.2","1968713","-4247","-0.22","/mutual-fund/holding-history/8295/209/"
"IndiaMART InterMESH Ltd","Communication Services","1631483750","1197836250","2.1","325000","-","-","/mutual-fund/holding-history/8295/149049/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","1269566200","1180353440","2.07","2450900","-11550","-0.47","/mutual-fund/holding-history/8295/54899/"
"Finolex Cables Ltd","Industrials","1203177344.6","1139852221","2","4112021","-","-","/mutual-fund/holding-history/8295/416/"
"Axis Bank Ltd","Financial Services","1013018732.55","1142247317","2","2299441","-","-","/mutual-fund/holding-history/8295/140/"
"Atul Ltd","Basic Materials","1266537397.5","1130898799","1.98","195642","-","-","/mutual-fund/holding-history/8295/129/"
"Gulf Oil Lubricants India Ltd","Basic Materials","981286122","997453765","1.75","1497004","-","-","/mutual-fund/holding-history/8295/518/"
"TeamLease Services Ltd","Industrials","989578345","967551423","1.7","408284","-","-","/mutual-fund/holding-history/8295/1955/"
"Kotak Mahindra Bank Ltd","Financial Services","878269242.6","943329963","1.65","673158","-","-","/mutual-fund/holding-history/8295/758/"
"K.P.R. Mill Ltd","Consumer Cyclical","1011464862","928870370","1.63","1694246","-","-","/mutual-fund/holding-history/8295/764/"
"TTK Prestige Ltd","Consumer Cyclical","985039056.75","924428764","1.62","162407","-","-","/mutual-fund/holding-history/8295/1421/"
