"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Supreme Industries Ltd","Consumer Cyclical","4231920147","4107782000","5.63","3072732","20000","0.66","/mutual-fund/holding-history/8582/1324/"
"Coromandel International Ltd","Basic Materials","3126633791","3009813000","4.12","3960020","-25000","-0.63","/mutual-fund/holding-history/8582/284/"
"PI Industries Ltd","Basic Materials","3003630464.8","2884621000","3.95","1569008","-57702","-3.55","/mutual-fund/holding-history/8582/1038/"
"Ramco Cements Ltd","Basic Materials","2823540010.35","2758658000","3.78","3980461","144689","3.77","/mutual-fund/holding-history/8582/1103/"
"Schaeffler India Ltd","Industrials","2260611813","2493484000","3.42","628620","8722","1.41","/mutual-fund/holding-history/8582/406/"
"Sheela Foam Ltd","Consumer Cyclical","1951408326.7","1976908000","2.71","1436602","70000","5.12","/mutual-fund/holding-history/8582/4957/"
"Thermax Ltd","Industrials","1744648359.75","1820353000","2.49","2380635","15000","0.63","/mutual-fund/holding-history/8582/1387/"
"Tata Consumer Products Ltd","Consumer Defensive","1701060875.6","1776304000","2.43","3336722","-299999","-8.25","/mutual-fund/holding-history/8582/1359/"
"Atul Ltd","Basic Materials","1838920378.2","1745707000","2.39","302002","6901","2.34","/mutual-fund/holding-history/8582/129/"
"Cadila Healthcare Ltd","Healthcare","1739152795.5","1674865000","2.29","4511421","-","-","/mutual-fund/holding-history/8582/229/"
"Solar Industries India Ltd","Basic Materials","1489191496.2","1630501000","2.23","1452303","35000","2.47","/mutual-fund/holding-history/8582/1263/"
"Kajaria Ceramics Ltd","Industrials","1713856500","1494997000","2.05","3427713","-","-","/mutual-fund/holding-history/8582/709/"
"SRF Ltd","Basic Materials","1501564298.4","1490424000","2.04","367652","-9100","-2.42","/mutual-fund/holding-history/8582/1283/"
"AU Small Finance Bank Ltd","Financial Services","1402553250","1427666000","1.96","2137224","-","-","/mutual-fund/holding-history/8582/54902/"
"Page Industries Ltd","Consumer Cyclical","1476872390.1","1423451000","1.95","74967","7741","11.51","/mutual-fund/holding-history/8582/994/"
"APL Apollo Tubes Ltd","Basic Materials","1478181365","1326271000","1.82","551900","-8000","-1.43","/mutual-fund/holding-history/8582/91/"
"SKF India Ltd","Industrials","1173456576.6","1324028000","1.81","814561","51390","6.73","/mutual-fund/holding-history/8582/1251/"
"Voltas Ltd","Industrials","1384031730","1311215000","1.8","2065719","-40000","-1.9","/mutual-fund/holding-history/8582/1500/"
"Bharat Electronics Ltd","Industrials","1136843892.6","1292810000","1.77","12184822","-","-","/mutual-fund/holding-history/8582/175/"
"Oberoi Realty Ltd","Real Estate","1327621475.25","1285263000","1.76","3296391","134773","4.26","/mutual-fund/holding-history/8582/962/"
"Exide Industries Ltd","Consumer Cyclical","1263977228.7","1287123000","1.76","7845917","-","-","/mutual-fund/holding-history/8582/404/"
"Persistent Systems Ltd","Technology","1623777368.55","1275763000","1.75","1331347","140000","11.75","/mutual-fund/holding-history/8582/1023/"
"Torrent Pharmaceuticals Ltd","Healthcare","1283137936","1255935000","1.72","471872","-20000","-4.07","/mutual-fund/holding-history/8582/1409/"
"Mahindra & Mahindra Financial Services Ltd","Financial Services","1090274523","1221289000","1.67","9066732","4458366","96.75","/mutual-fund/holding-history/8582/808/"
"Apollo Hospitals Enterprise Ltd","Healthcare","1492463948.4","1203120000","1.65","736056","-","-","/mutual-fund/holding-history/8582/93/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","1198093148.7","1174609000","1.61","997206","-","-","/mutual-fund/holding-history/8582/1114/"
"Shree Cement Ltd","Basic Materials","1080174179.7","1152602000","1.58","56826","-1140","-1.97","/mutual-fund/holding-history/8582/1226/"
"Cummins India Ltd","Industrials","1099863206.75","1138023000","1.56","2461921","-200000","-7.51","/mutual-fund/holding-history/8582/297/"
"Max Financial Services Ltd","Financial Services","1151468122.75","1141780000","1.56","1937683","-","-","/mutual-fund/holding-history/8582/845/"
"Balkrishna Industries Ltd","Consumer Cyclical","1157731805.2","1128659000","1.55","853816","25000","3.02","/mutual-fund/holding-history/8582/153/"
"Lux Industries Ltd","Consumer Cyclical","1085912558.5","1014819000","1.39","772754","10000","1.31","/mutual-fund/holding-history/8582/1796/"
"Sundaram Finance Ltd","Financial Services","810690668.75","988611000","1.35","613625","20251","3.41","/mutual-fund/holding-history/8582/1311/"
"Bata India Ltd","Consumer Cyclical","973498663","970548000","1.33","747121","75000","11.16","/mutual-fund/holding-history/8582/168/"
"Amara Raja Batteries Ltd","Consumer Cyclical","968607738.6","970942000","1.33","1333803","-","-","/mutual-fund/holding-history/8582/68/"
"Jindal Steel & Power Ltd","Basic Materials","828729350.1","966576000","1.32","4712706","-500000","-9.59","/mutual-fund/holding-history/8582/677/"
"Godrej Agrovet Ltd Ordinary Shares","Consumer Defensive","889925809.5","872836000","1.2","1789515","-","-","/mutual-fund/holding-history/8582/62812/"
"Hawkins Cookers Ltd","Consumer Cyclical","859057331.85","817042000","1.12","170139","1090","0.64","/mutual-fund/holding-history/8582/2364/"
"Emami Ltd","Consumer Defensive","802073353.5","813584000","1.11","2279265","23832","1.06","/mutual-fund/holding-history/8582/374/"
"V-Guard Industries Ltd","Industrials","794918527","805511000","1.1","4814770","18518","0.39","/mutual-fund/holding-history/8582/1476/"
"Alkem Laboratories Ltd","Healthcare","808141693","785172000","1.08","288380","20000","7.45","/mutual-fund/holding-history/8582/1878/"
"The Federal Bank Ltd","Financial Services","619092385.2","717732000","0.98","12978876","500000","4.01","/mutual-fund/holding-history/8582/412/"
"Eris Lifesciences Ltd Registered Shs","Healthcare","786273219.8","701499000","0.96","1456601","-","-","/mutual-fund/holding-history/8582/54899/"
"Axis Bank Ltd","Financial Services","579433872.9","693492000","0.95","1396058","-","-","/mutual-fund/holding-history/8582/140/"
"Blue Star Ltd","Industrials","667051921.55","664283000","0.91","1044799","16908","1.64","/mutual-fund/holding-history/8582/209/"
