"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Bayer CropScience Ltd","Basic Materials","2482366856.2","2409623000","4.16","414377","-6223","-1.48","/mutual-fund/holding-history/10645/169/"
"Emami Ltd","Consumer Defensive","2153471404.5","2184375000","3.77","6119555","-","-","/mutual-fund/holding-history/10645/374/"
"Ipca Laboratories Ltd","Healthcare","2144358425","1958007000","3.38","1037300","-148300","-12.51","/mutual-fund/holding-history/10645/642/"
"Mphasis Ltd","Technology","2232596520","1937480000","3.35","1755600","-49700","-2.75","/mutual-fund/holding-history/10645/881/"
"Syngene International Ltd","Healthcare","2027537730","1665296000","2.88","3511800","-","-","/mutual-fund/holding-history/10645/1771/"
"Atul Ltd","Basic Materials","1549675950","1471125000","2.54","254500","-","-","/mutual-fund/holding-history/10645/129/"
"Coromandel International Ltd","Basic Materials","1506841173.55","1450541000","2.5","1908481","-","-","/mutual-fund/holding-history/10645/284/"
"Abbott India Ltd","Healthcare","1377935465","1389761000","2.4","84860","-4829","-5.38","/mutual-fund/holding-history/10645/18/"
"Multi Commodity Exchange of India Ltd","Financial Services","1350932531.25","1319279000","2.28","825375","-24194","-2.85","/mutual-fund/holding-history/10645/853/"
"Max Financial Services Ltd","Financial Services","1266762725","1256104000","2.17","2131700","-","-","/mutual-fund/holding-history/10645/845/"
"Jindal Steel & Power Ltd","Basic Materials","1078628730","1258042000","2.17","6133800","-277800","-4.33","/mutual-fund/holding-history/10645/677/"
"Affle India Ltd","Communication Services","1424370791.25","1244141000","2.15","491425","-6775","-1.36","/mutual-fund/holding-history/10645/154217/"
"Manappuram Finance Ltd","Financial Services","1290272720","1247699000","2.15","8430400","-","-","/mutual-fund/holding-history/10645/827/"
"3M India Ltd","Industrials","1112319390","1238158000","2.14","61100","-","-","/mutual-fund/holding-history/10645/10/"
"Ramco Cements Ltd","Basic Materials","1254940877.7","1226104000","2.12","1769142","-","-","/mutual-fund/holding-history/10645/1103/"
"Sundaram Finance Ltd","Financial Services","997390302.15","1216285000","2.1","754941","-","-","/mutual-fund/holding-history/10645/1311/"
"Cummins India Ltd","Industrials","1162086100","1202405000","2.08","2601200","-","-","/mutual-fund/holding-history/10645/297/"
"Page Industries Ltd","Consumer Cyclical","1245058960","1200023000","2.07","63200","-","-","/mutual-fund/holding-history/10645/994/"
"Berger Paints India Ltd","Basic Materials","1246946600","1151538000","1.99","2141600","-318755","-12.96","/mutual-fund/holding-history/10645/178/"
"Ratnamani Metals & Tubes Ltd","Basic Materials","1176602812.55","1153540000","1.99","979319","-1653","-0.17","/mutual-fund/holding-history/10645/1114/"
"Supreme Industries Ltd","Consumer Cyclical","1142642348.75","1109124000","1.92","829655","-","-","/mutual-fund/holding-history/10645/1324/"
"Godrej Properties Ltd","Real Estate","995263360","1063754000","1.84","1164800","-333300","-22.25","/mutual-fund/holding-history/10645/478/"
"Aarti Industries Ltd","Basic Materials","970878300","1012078000","1.75","966000","-","-","/mutual-fund/holding-history/10645/14/"
"Mahanagar Gas Ltd","Utilities","867867710","1005978000","1.74","1056700","-","-","/mutual-fund/holding-history/10645/4581/"
"Birlasoft Ltd","Technology","1197618103","1007480000","1.74","6275180","-690812","-9.92","/mutual-fund/holding-history/10645/763/"
"Pfizer Ltd","Healthcare","1050303411","981280000","1.69","213498","-","-","/mutual-fund/holding-history/10645/1027/"
"ICICI Securities Ltd","Financial Services","896222700","936229000","1.62","1961100","-200000","-9.25","/mutual-fund/holding-history/10645/81109/"
"CRISIL Ltd","Financial Services","867619381.35","888530000","1.53","507543","-","-","/mutual-fund/holding-history/10645/292/"
"Cholamandalam Investment and Finance Co Ltd","Financial Services","877604420","853707000","1.47","3676600","-531700","-12.63","/mutual-fund/holding-history/10645/262/"
"Trent Ltd","Consumer Cyclical","837372912","845575000","1.46","1322864","-","-","/mutual-fund/holding-history/10645/1412/"
"Johnson Controls - Hitachi Air Conditioning India Ltd","Technology","873669528.6","842098000","1.45","394647","-12662","-3.11","/mutual-fund/holding-history/10645/563/"
"Suven Pharmaceuticals Ltd","Healthcare","490824819.3","811518000","1.4","1279189","-76111","-5.62","/mutual-fund/holding-history/10645/191143/"
"AIA Engineering Ltd","Industrials","776805805.05","805231000","1.39","446941","-47607","-9.63","/mutual-fund/holding-history/10645/46/"
"Godfrey Phillips India Ltd","Consumer Defensive","739066460.9","776185000","1.34","805171","-38218","-4.53","/mutual-fund/holding-history/10645/475/"
"Castrol India Ltd","Basic Materials","700578041.8","764673000","1.32","6377588","-","-","/mutual-fund/holding-history/10645/241/"
"Voltas Ltd","Industrials","755090000","715363000","1.24","1127000","-","-","/mutual-fund/holding-history/10645/1500/"
"MRF Ltd","Consumer Cyclical","701029690","707447000","1.22","12200","-","-","/mutual-fund/holding-history/10645/883/"
"Apollo Hospitals Enterprise Ltd","Healthcare","858304245","691905000","1.19","423300","-","-","/mutual-fund/holding-history/10645/93/"
"Oberoi Realty Ltd","Real Estate","703523700","681077000","1.18","1746800","-","-","/mutual-fund/holding-history/10645/962/"
"Alkem Laboratories Ltd","Healthcare","658552250","639835000","1.1","235000","12748","5.74","/mutual-fund/holding-history/10645/1878/"
"Sundaram Fasteners Ltd","Consumer Cyclical","525970765.1","592481000","1.02","1314434","-","-","/mutual-fund/holding-history/10645/1313/"
"Timken India Ltd","Industrials","536565419.85","565561000","0.98","509583","-","-","/mutual-fund/holding-history/10645/1399/"
