"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Varun Beverages Ltd","Consumer Defensive","2898464952.5","3067247000","4.37","4167455","-","-","/mutual-fund/holding-history/6343/4813/"
"Cholamandalam Financial Holdings Ltd","Financial Services","2644254671.3","2916060000","4.16","6678254","-","-","/mutual-fund/holding-history/6343/1424/"
"Bharat Forge Ltd","Consumer Cyclical","1759636892.1","1942759000","2.77","3955129","-","-","/mutual-fund/holding-history/6343/184/"
"Balkrishna Industries Ltd","Consumer Cyclical","1987010485.95","1937114000","2.76","1465401","45000","3.17","/mutual-fund/holding-history/6343/153/"
"Tata Consumer Products Ltd","Consumer Defensive","1748843410","1826200000","2.6","3430450","-400000","-10.44","/mutual-fund/holding-history/6343/1359/"
"Divi's Laboratories Ltd","Healthcare","1680256866.75","1714320000","2.44","548969","-35000","-5.99","/mutual-fund/holding-history/6343/336/"
"Sanofi India Ltd","Healthcare","1759765319.65","1699407000","2.42","206777","-","-","/mutual-fund/holding-history/6343/1182/"
"SRF Ltd","Basic Materials","1552522861.8","1541005000","2.2","380129","-","-","/mutual-fund/holding-history/6343/1283/"
"Voltas Ltd","Industrials","1620127000","1534889000","2.19","2418100","-","-","/mutual-fund/holding-history/6343/1500/"
"Emami Ltd","Consumer Defensive","1481850900","1503116000","2.14","4211000","400000","10.5","/mutual-fund/holding-history/6343/374/"
"ICICI Bank Ltd","Financial Services","1277736355.15","1446134000","2.06","3664811","604931","19.77","/mutual-fund/holding-history/6343/584/"
"Apollo Hospitals Enterprise Ltd","Healthcare","1753240014.9","1413340000","2.01","864666","129500","17.62","/mutual-fund/holding-history/6343/93/"
"Vardhman Textiles Ltd","Consumer Cyclical","1284665961.6","1399073000","1.99","1652091","-","-","/mutual-fund/holding-history/6343/1504/"
"Aditya Birla Fashion and Retail Ltd","Consumer Cyclical","1254954415.2","1369486000","1.95","9789036","-","-","/mutual-fund/holding-history/6343/1029/"
"Ashok Leyland Ltd","Consumer Cyclical","1499676500","1329661000","1.89","19655000","4000000","25.55","/mutual-fund/holding-history/6343/114/"
"L&T Technology Services Ltd","Technology","1246708382.4","1226298000","1.75","783502","-","-","/mutual-fund/holding-history/6343/4708/"
"Tata Power Co Ltd","Utilities","1110208905.9","1228338000","1.75","20907889","-","-","/mutual-fund/holding-history/6343/1364/"
"Dixon Technologies (India) Ltd","Technology","1227136556.8","1129666000","1.61","139552","-5000","-3.46","/mutual-fund/holding-history/6343/60393/"
"Max Financial Services Ltd","Financial Services","1111413890","1102062000","1.57","1870280","-","-","/mutual-fund/holding-history/6343/845/"
"Fortis Healthcare Ltd","Healthcare","1127088139.45","1091340000","1.56","8217923","-","-","/mutual-fund/holding-history/6343/424/"
"Bharat Electronics Ltd","Industrials","925815340.2","1052830000","1.5","9922994","700000","7.59","/mutual-fund/holding-history/6343/175/"
"Mahindra & Mahindra Financial Services Ltd","Financial Services","905703038.5","1014538000","1.45","7531834","5753105","323.44","/mutual-fund/holding-history/6343/808/"
"Orient Electric Ltd Ordinary Shares","Consumer Cyclical","874266752.25","982720000","1.4","4918519","-","-","/mutual-fund/holding-history/6343/94299/"
"Info Edge (India) Ltd","Communication Services","963982260.45","911874000","1.3","279403","10643","3.96","/mutual-fund/holding-history/6343/913/"
"Honeywell Automation India Ltd","Industrials","905298212.7","912088000","1.3","27958","-","-","/mutual-fund/holding-history/6343/569/"
"PI Industries Ltd","Basic Materials","937974069.5","900810000","1.28","489970","-","-","/mutual-fund/holding-history/6343/1038/"
"Ajanta Pharma Ltd","Healthcare","929244615","889721000","1.27","599300","-30000","-4.77","/mutual-fund/holding-history/6343/49/"
"Ipca Laboratories Ltd","Healthcare","961821138.5","878236000","1.25","465266","94591","25.52","/mutual-fund/holding-history/6343/642/"
"Cipla Ltd","Healthcare","939522000","870531000","1.24","1220000","-250000","-17.01","/mutual-fund/holding-history/6343/268/"
"MRF Ltd","Consumer Cyclical","811815365.6","819247000","1.17","14128","-5000","-26.14","/mutual-fund/holding-history/6343/883/"
"Syngene International Ltd","Healthcare","991021275","813964000","1.16","1716500","-","-","/mutual-fund/holding-history/6343/1771/"
"AU Small Finance Bank Ltd","Financial Services","802854281.25","817229000","1.16","1223397","-","-","/mutual-fund/holding-history/6343/54902/"
"PVR Ltd","Communication Services","678144464.85","807866000","1.15","615963","44129","7.72","/mutual-fund/holding-history/6343/1087/"
"CreditAccess Grameen Ltd Ordinary Shares","Financial Services","777418980","799645000","1.14","1114100","-","-","/mutual-fund/holding-history/6343/100478/"
"Alkem Laboratories Ltd","Healthcare","808307031.65","785333000","1.12","288439","-6561","-2.22","/mutual-fund/holding-history/6343/1878/"
"Godrej Properties Ltd","Real Estate","726242340.85","776220000","1.11","849953","150000","21.43","/mutual-fund/holding-history/6343/478/"
"Phoenix Mills Ltd","Real Estate","642335452.2","747942000","1.07","1159869","-","-","/mutual-fund/holding-history/6343/1036/"
"Apollo Tyres Ltd","Consumer Cyclical","724989184.8","745195000","1.06","6031524","-","-","/mutual-fund/holding-history/6343/94/"
"Torrent Pharmaceuticals Ltd","Healthcare","742265514.75","726529000","1.04","272967","-25000","-8.39","/mutual-fund/holding-history/6343/1409/"
