"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Elgi Equipments Ltd","Industrials","2580600000","2426600000","4.82","11000000","-","-","/mutual-fund/holding-history/17800/371/"
"PI Industries Ltd","Basic Materials","2207514328.8","2109635000","4.19","1147476","-","-","/mutual-fund/holding-history/17800/1038/"
"JK Cement Ltd","Basic Materials","2011823967.25","1944278000","3.86","1305235","300000","29.84","/mutual-fund/holding-history/17800/683/"
"Blue Star Ltd","Industrials","1926905000","1843820000","3.66","2900000","985120","51.45","/mutual-fund/holding-history/17800/209/"
"City Union Bank Ltd","Financial Services","1867450000","1755000000","3.48","13000000","2000000","18.18","/mutual-fund/holding-history/17800/295/"
"Techno Electric & Engineering Co Ltd","Industrials","1854442418.4","1735240000","3.44","8514428","5379678","171.61","/mutual-fund/holding-history/17800/118204/"
"Hawkins Cookers Ltd","Consumer Cyclical","1787596800","1690374000","3.35","352000","-","-","/mutual-fund/holding-history/17800/2364/"
"Hatsun Agro Product Ltd","Consumer Defensive","1796495750","1591536000","3.16","2135000","-","-","/mutual-fund/holding-history/17800/524/"
"Navin Fluorine International Ltd","Basic Materials","1634786500","1542041000","3.06","790000","-","-","/mutual-fund/holding-history/17800/914/"
"Tube Investments of India Ltd Ordinary Shares","Consumer Cyclical","1414040000","1490170000","2.96","2300000","-","-","/mutual-fund/holding-history/17800/67548/"
"Lemon Tree Hotels Ltd","Consumer Cyclical","1477500000","1425000000","2.83","50000000","-","-","/mutual-fund/holding-history/17800/81513/"
"Carborundum Universal Ltd","Industrials","1448755000","1428615000","2.83","5300000","-","-","/mutual-fund/holding-history/17800/238/"
"Chalet Hotels Ltd","Consumer Cyclical","1392750000","1406700000","2.79","9000000","-","-","/mutual-fund/holding-history/17800/127257/"
"Great Eastern Shipping Co Ltd","Industrials","1429403443.5","1379768000","2.74","5424681","-","-","/mutual-fund/holding-history/17800/452/"
"Dixon Technologies (India) Ltd","Technology","1669893000","1376142000","2.73","170000","-20000","-10.53","/mutual-fund/holding-history/17800/60393/"
"Timken India Ltd","Industrials","1338286703.8","1313377000","2.61","1183382","-","-","/mutual-fund/holding-history/17800/1399/"
"V-Guard Industries Ltd","Industrials","1375990000","1288210000","2.56","7700000","7700000","New","/mutual-fund/holding-history/17800/1476/"
"Narayana Hrudayalaya Ltd","Healthcare","1280570000","1196950000","2.38","3700000","-","-","/mutual-fund/holding-history/17800/1886/"
"Relaxo Footwears Ltd","Consumer Cyclical","1189530000","1179720000","2.34","1800000","-","-","/mutual-fund/holding-history/17800/1125/"
"CSB Bank Ltd Ordinary Shares","Financial Services","1260325000","1176175000","2.33","5500000","-","-","/mutual-fund/holding-history/17800/174482/"
"Rossari Biotech Ltd Ordinary Shares","Basic Materials","1242657976.5","1118066000","2.22","1514790","-","-","/mutual-fund/holding-history/17800/243466/"
"Triveni Turbine Ltd","Industrials","1030107050.7","1055982000","2.1","13986518","1210235","9.47","/mutual-fund/holding-history/17800/1418/"
"Engineers India Ltd","Industrials","1093591017.75","1049628000","2.08","15701235","-","-","/mutual-fund/holding-history/17800/380/"
