"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Aug, 2020","% of Total Holding","Quantity","Month Change <br> in Shares%","Month Change","History "
"Tata Consumer Products Ltd","Consumer Defensive","2702133214.2","2821656761","5.31","5300379","-1018439","-16.12","/mutual-fund/holding-history/7041/1359/"
"Trent Ltd","Consumer Cyclical","2286605523","2309001975","4.35","3612331","-208939","-5.47","/mutual-fund/holding-history/7041/1412/"
"Ramco Cements Ltd","Basic Materials","1927995566.25","1883692574","3.55","2717975","-153338","-5.34","/mutual-fund/holding-history/7041/1103/"
"Honeywell Automation India Ltd","Industrials","1770994890.45","1784277086","3.36","54693","-6107","-10.04","/mutual-fund/holding-history/7041/569/"
"Whirlpool of India Ltd","Technology","1566889250","1601619250","3.02","755000","-","-","/mutual-fund/holding-history/7041/1521/"
"Cummins India Ltd","Industrials","1338622043","1385065561","2.61","2996356","-","-","/mutual-fund/holding-history/7041/297/"
"Timken India Ltd","Industrials","1269495485.2","1338097312","2.52","1205656","-14705","-1.2","/mutual-fund/holding-history/7041/1399/"
"Max Financial Services Ltd","Financial Services","1286242240","1275419840","2.4","2164480","909378","72.45","/mutual-fund/holding-history/7041/845/"
"Varun Beverages Ltd","Consumer Defensive","1163172283","1230905536","2.32","1672426","-67380","-3.87","/mutual-fund/holding-history/7041/4813/"
"Sundaram Clayton Ltd","Consumer Cyclical","1126050957.5","1199039260","2.26","690850","-","-","/mutual-fund/holding-history/7041/1309/"
"Emami Ltd","Consumer Defensive","1140156000","1156518000","2.18","3240000","-","-","/mutual-fund/holding-history/7041/374/"
"Natco Pharma Ltd","Healthcare","1352761047.1","1146803292","2.16","1525613","-","-","/mutual-fund/holding-history/7041/908/"
"Apollo Hospitals Enterprise Ltd","Healthcare","1385608821.05","1116981184","2.1","683357","-","-","/mutual-fund/holding-history/7041/93/"
"Indraprastha Gas Ltd","Utilities","1129100000","1104460000","2.08","2800000","-","-","/mutual-fund/holding-history/7041/596/"
"Schaeffler India Ltd","Industrials","974998976.45","1075436492","2.03","271123","-11652","-4.12","/mutual-fund/holding-history/7041/406/"
"Kansai Nerolac Paints Ltd","Basic Materials","1014260425.1","1018737925","1.92","2132143","-","-","/mutual-fund/holding-history/7041/718/"
"ICICI Securities Ltd","Financial Services","977534882","1021171012","1.92","2139026","-208745","-8.89","/mutual-fund/holding-history/7041/81109/"
"Coromandel International Ltd","Basic Materials","1037771887.2","998997559","1.88","1314384","-59634","-4.34","/mutual-fund/holding-history/7041/284/"
"The Federal Bank Ltd","Financial Services","784512026.1","909507653","1.71","16446793","60175","0.37","/mutual-fund/holding-history/7041/412/"
"Sanofi India Ltd","Healthcare","920600907.85","889025209","1.67","108173","-","-","/mutual-fund/holding-history/7041/1182/"
"Bharat Electronics Ltd","Industrials","753183936.3","856514637","1.61","8072711","2628959","48.29","/mutual-fund/holding-history/7041/175/"
"Aditya Birla Fashion and Retail Ltd","Consumer Cyclical","772826521.6","843357491","1.59","6028288","-","-","/mutual-fund/holding-history/7041/1029/"
